Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
148,148,148. left_temporal_grid 20,196.86,100.09,122.42,-70.22,-35.84,0.16,-67.32,-44.91,10.22,198.23,97.99,122.88
149,149,149. left_temporal_grid 21,197.39,109.4,117.35,-70.75,-26.53,-4.91,-68.44,-37.14,3.13,199.28,107.63,118.14
150,150,150. left_temporal_grid 22,196.75,116.77,111.78,-70.11,-19.17,-10.49,-68.2,-31.18,-4.09,198.97,115.3,112.88
151,151,151. left_temporal_grid 23,195.29,124.61,106.15,-68.65,-11.32,-16.11,-67.18,-24.71,-11.43,197.73,123.37,107.56
152,152,152. left_temporal_grid 24,191.94,131.61,100.38,-65.3,-4.32,-21.88,-64.17,-18.87,-18.7,194.2,130.47,101.93
153,153,153. left_temporal_grid 25,184.4,72.33,128.84,-57.76,-63.6,6.57,-52.59,-68.59,22.64,183.46,70.16,128.5
154,154,154. left_temporal_grid 26,190.67,79.06,124.18,-64.03,-56.87,1.92,-59.27,-63.74,16.31,190.33,76.84,124.01
155,155,155. left_temporal_grid 27,194.82,86.46,120.18,-68.17,-49.48,-2.08,-63.9,-57.94,10.59,195,84.29,120.21
156,156,156. left_temporal_grid 28,197.64,94.79,115.33,-71,-41.15,-6.93,-67.26,-51.28,3.85,198.3,92.79,115.6
157,157,157. left_temporal_grid 29,198.42,103.41,110.16,-71.78,-32.52,-12.11,-68.57,-44.21,-3.23,199.5,101.7,110.71
158,158,158. left_temporal_grid 30,197.72,111.09,104.69,-71.08,-24.85,-17.58,-68.3,-37.94,-10.4,199.1,109.66,105.52
159,159,159. left_temporal_grid 31,195.41,119.15,99.31,-68.77,-16.78,-22.95,-66.45,-31.12,-17.49,197,117.99,100.42
160,160,160. left_temporal_grid 32,191.89,126.78,93.86,-65.25,-9.15,-28.41,-63.35,-24.61,-24.55,193.4,125.79,95.15
