Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
204,204,204: Right temporal grid 96  76,56.74,122.81,141.67,68.83,-16.53,-14.07,73.75,-26.97,-2.09,59.68,123.73,143.87
205,205,205: Right temporal grid 96  77,57.85,124.75,146.08,67.72,-14.58,-9.66,73.36,-24.53,2.63,61.02,125.63,148.24
206,206,206: Right temporal grid 96  78,59.38,126.71,150.27,66.19,-12.63,-5.47,72.53,-22.06,7.17,62.76,127.5,152.35
207,207,207: Right temporal grid 96  79,61.3,129.28,154.9,64.27,-10.05,-0.84,71.43,-18.88,12.18,64.92,129.95,156.89
208,208,208: Right temporal grid 96  80,63.52,131.73,159.48,62.05,-7.61,3.73,70,-15.81,17.19,67.42,132.23,161.4
209,209,209: Right temporal grid 96  81,56.29,120.9,124.9,69.28,-18.44,-30.84,72.01,-30.34,-19.96,58.15,121.72,126.8
210,210,210: Right temporal grid 96  82,56.13,123.11,129.7,69.44,-16.22,-26.04,72.96,-27.74,-15,58.29,123.97,131.77
211,211,211: Right temporal grid 96  83,56.26,125.32,134.47,69.32,-14.02,-21.28,73.62,-25.13,-10.05,58.7,126.19,136.64
212,212,212: Right temporal grid 96  84,56.87,127.53,139.22,68.71,-11.81,-16.53,73.79,-22.46,-5.04,59.57,128.39,141.45
213,213,213: Right temporal grid 96  85,58.13,129.58,143.81,67.45,-9.75,-11.93,73.29,-19.88,-0.11,61.06,130.39,146.03
214,214,214: Right temporal grid 96  86,59.84,131.74,148.05,65.73,-7.6,-7.7,72.3,-17.18,4.48,63.01,132.44,150.22
215,215,215: Right temporal grid 96  87,61.96,134.56,152.52,63.61,-4.78,-3.22,71,-13.75,9.34,65.41,135.1,154.64
216,216,216: Right temporal grid 96  88,64.06,136.84,157,61.51,-2.49,1.26,69.67,-10.86,14.24,67.83,137.18,159.08
217,217,217: Right temporal grid 96  89,56.11,125.78,122.66,69.46,-13.55,-33.09,72.4,-25.68,-22.74,57.91,126.52,124.57
218,218,218: Right temporal grid 96  90,56.32,127.93,127.35,69.26,-11.4,-28.39,72.97,-23.11,-17.85,58.34,128.71,129.42
219,219,219: Right temporal grid 96  91,56.57,130.1,132.05,69,-9.23,-23.7,73.49,-20.53,-12.94,58.82,130.9,134.24
220,220,220: Right temporal grid 96  92,57.32,132.28,136.78,68.25,-7.06,-18.96,73.52,-17.87,-7.94,59.8,133.06,139.05
221,221,221: Right temporal grid 96  93,58.69,134.5,141.52,66.89,-4.84,-14.22,72.94,-15.11,-2.85,61.41,135.22,143.82
222,222,222: Right temporal grid 96  94,60.47,136.96,146.02,65.1,-2.38,-9.73,71.94,-12.07,2.01,63.46,137.56,148.29
223,223,223: Right temporal grid 96  95,62.49,139.76,150.42,63.08,0.42,-5.32,70.73,-8.68,6.78,65.82,140.16,152.67
224,224,224: Right temporal grid 96  96,64.36,141.96,154.73,61.21,2.62,-1.02,69.6,-5.92,11.46,68.05,142.12,156.97
225,225,225: Right frontal grid 32  1,90.3,199.61,137.32,35.27,60.27,-18.43,47.4,53.01,-8.08,94.25,195.27,139.45
226,226,226: Right frontal grid 32  2,85.73,191.21,142.12,39.84,51.88,-13.62,51.69,44.53,-2.91,90.11,187.21,144.68
227,227,227: Right frontal grid 32  3,81.06,182.22,146.84,44.51,42.88,-8.91,56.01,35.44,2.2,85.64,178.95,149.68
228,228,228: Right frontal grid 32  4,76.87,172.43,151.24,48.7,33.09,-4.5,59.74,25.58,7.1,81.49,170.11,154.12
229,229,229: Right frontal grid 32  5,73.23,163.67,155.53,52.34,24.33,-0.21,63.01,16.8,11.87,77.79,162.12,158.32
230,230,230: Right frontal grid 32  6,70.39,155.36,159.63,55.18,16.02,3.89,65.51,8.54,16.51,74.85,154.41,162.3
231,231,231: Right frontal grid 32  7,67.92,146.78,163.44,57.66,7.45,7.7,67.58,0.03,20.9,72.31,146.36,165.89
232,232,232: Right frontal grid 32  8,68.48,136.74,166.01,57.09,-2.59,10.27,66.34,-9.7,24.45,72.8,136.81,167.98
233,233,233: Right frontal grid 32  9,93.68,201.75,146.27,31.89,62.42,-9.48,45.31,56.28,1.78,97.95,196.96,148.52
234,234,234: Right frontal grid 32  10,88.46,193.75,150.57,37.11,54.42,-5.18,50.23,48.08,6.3,93.21,189.25,153.37
235,235,235: Right frontal grid 32  11,83.49,185.21,154.93,42.09,45.88,-0.82,54.86,39.38,10.96,88.41,181.48,158.11
236,236,236: Right frontal grid 32  12,79.46,176.32,159.43,46.11,36.99,3.68,58.52,30.44,15.91,84.42,173.46,162.73
237,237,237: Right frontal grid 32  13,76.05,167.52,163.67,49.52,28.18,7.93,61.55,21.64,20.66,81,165.4,166.9
238,238,238: Right frontal grid 32  14,73.45,157.96,167.81,52.12,18.63,12.06,63.69,12.17,25.46,78.34,156.55,170.83
239,239,239: Right frontal grid 32  15,72.22,148.8,171.72,53.36,9.47,15.97,64.49,3.22,30.15,77.04,147.95,174.44
240,240,240: Right frontal grid 32  16,73.35,138.38,173.67,52.22,-0.96,17.92,62.57,-6.89,33.14,78.06,138.05,175.84
241,241,241: Right frontal grid 32  17,95.06,203.83,151.92,30.51,64.5,-3.82,44.82,58.99,7.85,99.36,198.95,154.18
242,242,242: Right frontal grid 32  18,90.75,195.81,156.99,34.82,56.47,1.25,48.92,50.93,13.32,95.6,191.17,159.82
243,243,243: Right frontal grid 32  19,86.58,187.49,162.1,39,48.16,6.36,52.87,42.6,18.87,91.64,183.51,165.37
244,244,244: Right frontal grid 32  20,83.45,179.32,166.97,42.12,39.98,11.23,55.75,34.51,24.28,88.59,176.05,170.43
245,245,245: Right frontal grid 32  21,80.53,170.46,171.53,45.04,31.12,15.78,58.32,25.73,29.43,85.69,167.91,175
246,246,246: Right frontal grid 32  22,78.54,160.19,175.35,47.03,20.86,19.6,59.75,15.59,34.01,83.66,158.38,178.66
247,247,247: Right frontal grid 32  23,78.36,150.18,178.85,47.21,10.85,23.1,59.36,5.88,38.46,83.4,148.96,181.85
248,248,248: Right frontal grid 32  24,79.24,139.77,180.95,46.34,0.44,25.21,57.73,-4.22,41.59,84.14,139.04,183.43
249,249,249: Right frontal grid 32  25,100.06,204.7,158.19,25.51,65.36,2.45,40.68,60.94,15.13,104.31,199.8,160.29
250,250,250: Right frontal grid 32  26,96.42,196.92,163.23,29.15,57.59,7.48,44.14,53.2,20.63,101.25,192.18,165.89
251,251,251: Right frontal grid 32  27,93.49,188.81,168.4,32.08,49.48,12.66,46.87,45.22,26.39,98.57,184.57,171.51
252,252,252: Right frontal grid 32  28,90.56,180.43,173.34,35.02,41.1,17.6,49.55,36.95,31.92,95.73,176.86,176.71
253,253,253: Right frontal grid 32  29,87.39,171.6,178.27,38.19,32.26,22.53,52.43,28.2,37.43,92.59,168.73,181.73
254,254,254: Right frontal grid 32  30,85.32,161.67,182.17,40.25,22.33,26.43,53.97,18.4,42.07,90.48,159.54,185.6
255,255,255: Right frontal grid 32  31,85.19,151.37,185.46,40.38,12.03,29.71,53.48,8.39,46.32,90.22,149.88,188.62
256,256,256: Right frontal grid 32  32,86.02,141.13,188.33,39.55,1.79,32.58,51.99,-1.5,50.24,90.86,140.02,190.84
